research_field_name,laboratory_count,laboratory_ids,department_names,laboratory_names,category_code,category_name,classification_basis,confidence,review_status
광반도체 소자 LED 및 응용 반도체 레이저 및 광 증폭기 소자 광통신 소자 및 시스템,1,61,AI융합전자공학과,김종열 교수님 연구실,PHOTONICS_OPTICS,광학·포토닉스,LED·레이저·광증폭기 광소자,HIGH,APPROVED
광섬유 광학 (fiber optics),1,188,양자지능정보학과,김한솔 교수님 연구실,PHOTONICS_OPTICS,광학·포토닉스,광섬유 기반 광학 연구,HIGH,APPROVED
광의료영상 시스템 및 적외선 무선충전,1,60,AI융합전자공학과,하진용 교수님 연구실,BIOMED_HEALTH,바이오·의료·헬스케어,광학 기반 의료영상 시스템,MEDIUM,APPROVED
구조 최적화 설계,1,148,인공지능데이터사이언스학과,신승협 교수님 연구실,CONTROL_SYSTEMS,제어·추정·시스템공학,기계 구조 모델링·최적화,HIGH,APPROVED
국방 정보 기술 사이버전 기슬 머신 러닝 유비쿼터스 멀티미디어 시스템,1,3,컴퓨터공학과,신동규 교수님 연구실,DEFENSE_MILITARY,국방·군사·안보,국방 정보기술·사이버전 응용,HIGH,APPROVED
국방정책 및 전략,1,134,사이버국방학과,김덕영 교수님 연구실,DEFENSE_MILITARY,국방·군사·안보,국방 정책·군사 전략 연구,HIGH,APPROVED
국제표준 비디오 코딩,1,7,컴퓨터공학과,이영렬 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,표준 기반 비디오 압축·코딩,HIGH,APPROVED
군 지휘구조/부대구조/병력구조 등,1,138,국방AI로봇융합공학과,김태성 교수님 연구실,DEFENSE_MILITARY,국방·군사·안보,군 조직·전력 구조 연구,HIGH,APPROVED
궤도 추적,1,105,AI로봇학과,MAI The Vu 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,수중차량·로봇 궤도 추종,HIGH,APPROVED
그래프 신경망,1,67,AI융합전자공학과,SEJAN MOHAMMAD ABRAR SHAKIL 교수님 연구실,AI_ML,인공지능·기계학습,범용 그래프 기반 기계학습 방법론,HIGH,APPROVED
그래픽 하드웨어,1,12,컴퓨터공학과,박우찬 교수님 연구실,SEMICONDUCTOR_HW,반도체·집적회로·컴퓨팅하드웨어,GPU·ASIC 기반 그래픽 하드웨어,HIGH,APPROVED
금융 AI,1,151,인공지능데이터사이언스학과,이윤영 교수님 연구실,POLICY_MANAGEMENT,경영·정책·법·교육,금융·핀테크 의사결정 AI,MEDIUM,APPROVED
기계 학습,1,110,AI로봇학과,Amad Zafar 교수님 연구실,AI_ML,인공지능·기계학습,범용 기계학습 방법론,HIGH,APPROVED
기계/시스템 AI,1,148,인공지능데이터사이언스학과,신승협 교수님 연구실,CONTROL_SYSTEMS,제어·추정·시스템공학,기계 상태 추정·진단·제어 AI,HIGH,APPROVED
기계학습,4,4|17|21|29,컴퓨터공학과,신동일 교수님 연구실|윤은일 교수님 연구실|전은지 교수님 연구실|Usman Ali 교수님 연구실,AI_ML,인공지능·기계학습,다수 연구실의 범용 기계학습,HIGH,APPROVED
"기계학습 기반 지능형 시스템 (스마트팩토리, 스마트시티, 디지털 트윈, 자율 · 엣지 AI)",1,171,지능정보융합학과,이경호 교수님 연구실,AI_ML,인공지능·기계학습,지능형 시스템용 범용 기계학습,MEDIUM,APPROVED
기능점수(Function Point),1,35,컴퓨터공학과,권기학 교수님 연구실,SOFTWARE_COMPUTING,소프트웨어·컴퓨팅시스템,소프트웨어 규모·공수 측정,HIGH,APPROVED
기상 예측,1,33,컴퓨터공학과,전민종 교수님 연구실,ENERGY_ENVIRONMENT,에너지·환경·기후,기후·기상 환경 예측,HIGH,APPROVED
기후 빅데이터,1,141,인공지능데이터사이언스학과,최우석 교수님 연구실,ENERGY_ENVIRONMENT,에너지·환경·기후,기후·환경 대규모 데이터 분석,HIGH,APPROVED
기후 정보학,1,33,컴퓨터공학과,전민종 교수님 연구실,ENERGY_ENVIRONMENT,에너지·환경·기후,기후 데이터·예측 정보학,HIGH,APPROVED
기후예측,1,141,인공지능데이터사이언스학과,최우석 교수님 연구실,ENERGY_ENVIRONMENT,에너지·환경·기후,환경·기후 변화 예측,HIGH,APPROVED
나노광학소자,1,56,AI융합전자공학과,김경염 교수님 연구실,PHOTONICS_OPTICS,광학·포토닉스,나노 구조 기반 광학 소자,HIGH,APPROVED
나노구조 설계·합성,1,129,반도체시스템공학과,CAI ZHICHENG 교수님 연구실,ELECTRONIC_DEVICES,전자소자·센서·나노소재,센서용 나노소재 구조 제작,MEDIUM,APPROVED
"나노소재: 2차원(2D) 소재(MXene, MoS2, 그래핀) 반도체 센서: 가스 센서",1,130,반도체시스템공학과,HILAL MUHAMMAD 교수님 연구실,ELECTRONIC_DEVICES,전자소자·센서·나노소재,2차원 소재 기반 반도체 센서,HIGH,APPROVED
네트워크 보안,3,27|72|74,정보보호학과|컴퓨터공학과,송재승 교수님 연구실|윤주범 교수님 연구실|Tanveer Jawad 교수님 연구실,SECURITY_CRYPTO,정보보안·암호,통신망 공격 방어·보호,HIGH,APPROVED
네트워크 제어 시스템,1,172,지능정보융합학과,이석영 교수님 연구실,CONTROL_SYSTEMS,제어·추정·시스템공학,네트워크 기반 분산 제어,HIGH,APPROVED
다물체 동적 모델링,1,105,AI로봇학과,MAI The Vu 교수님 연구실,CONTROL_SYSTEMS,제어·추정·시스템공학,다물체 시스템 동역학 모델링,HIGH,APPROVED
다물체동역학의 대리모델링,1,104,AI로봇학과,최희선 교수님 연구실,CONTROL_SYSTEMS,제어·추정·시스템공학,동역학 시스템 대리 모델링,HIGH,APPROVED
다중안테나 기술,1,66,AI융합전자공학과,황덕동 교수님 연구실,COMM_NETWORK,통신·네트워크·IoT,MIMO 무선통신 안테나 기술,HIGH,APPROVED
대규모 언어모델(LLM),1,161,인공지능데이터사이언스학과,FARANAKSADAT SOLAT 교수님 연구실,AI_ML,인공지능·기계학습,범용 대규모 언어모델 연구,HIGH,APPROVED
대응,1,78,정보보호학과,최창희 교수님 연구실,SECURITY_CRYPTO,정보보안·암호,APT 공격 분석·사이버 대응 문맥,MEDIUM,APPROVED
데이터 과학,1,23,컴퓨터공학과,Mohammad Jalil Piran 교수님 연구실,DATA_INFORMATION,데이터과학·정보관리,데이터 분석·지식 추출 방법론,HIGH,APPROVED
데이터 기반 의사결정,1,157,인공지능데이터사이언스학과,Norma Latif Fitriyani 교수님 연구실,DATA_INFORMATION,데이터과학·정보관리,데이터 분석을 통한 의사결정 방법론,HIGH,APPROVED
데이터 마이닝 및 분석,1,157,인공지능데이터사이언스학과,Norma Latif Fitriyani 교수님 연구실,DATA_INFORMATION,데이터과학·정보관리,데이터 마이닝·분석 방법론,HIGH,APPROVED
데이터 및 보안 상호운용성,1,73,정보보호학과,김영갑 교수님 연구실,SECURITY_CRYPTO,정보보안·암호,보안 데이터 연계·상호운용,HIGH,APPROVED
데이터 분석,1,156,인공지능데이터사이언스학과,MUHAMMAD SYAFRUDIN 교수님 연구실,DATA_INFORMATION,데이터과학·정보관리,정보시스템 데이터 분석,HIGH,APPROVED
데이터 사이언스,1,177,콘텐츠소프트웨어학과,백성욱 교수님 연구실,DATA_INFORMATION,데이터과학·정보관리,범용 데이터 과학 연구,HIGH,APPROVED
데이터 시각화,1,16,컴퓨터공학과,장윤 교수님 연구실,DATA_INFORMATION,데이터과학·정보관리,데이터의 시각적 분석·표현,HIGH,APPROVED
데이터 인텔리전스,1,156,인공지능데이터사이언스학과,MUHAMMAD SYAFRUDIN 교수님 연구실,DATA_INFORMATION,데이터과학·정보관리,데이터 기반 지능·정보 추출,HIGH,APPROVED
데이터마이닝,1,17,컴퓨터공학과,윤은일 교수님 연구실,DATA_INFORMATION,데이터과학·정보관리,대규모 데이터 패턴 탐색,HIGH,APPROVED
데이터베이스,3,4|17|25,컴퓨터공학과,김천식 교수님 연구실|신동일 교수님 연구실|윤은일 교수님 연구실,DATA_INFORMATION,데이터과학·정보관리,데이터 저장·검색·관리,HIGH,APPROVED
데이터분석,2,17|148,인공지능데이터사이언스학과|컴퓨터공학과,신승협 교수님 연구실|윤은일 교수님 연구실,DATA_INFORMATION,데이터과학·정보관리,범용 데이터 분석 방법론,HIGH,APPROVED
데이터사이언스,1,16,컴퓨터공학과,장윤 교수님 연구실,DATA_INFORMATION,데이터과학·정보관리,데이터 처리·분석 과학,HIGH,APPROVED
도시환경,1,141,인공지능데이터사이언스학과,최우석 교수님 연구실,ENERGY_ENVIRONMENT,에너지·환경·기후,기후·스마트시티 도시환경 연구,HIGH,APPROVED
동영상 압축,1,6,컴퓨터공학과,김해광 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,동영상 신호 압축·부호화,HIGH,APPROVED
드론 펌웨어 개발 및 알고리즘 구현,2,112|159,인공지능데이터사이언스학과|AI로봇학과,김용훈 교수님 연구실|Hussain Dildar 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,드론 자율항법 임베디드 구현,HIGH,APPROVED
드론 환경 인식,1,85,AI로봇학과,서재규 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,드론 자율비행용 환경 인지,HIGH,APPROVED
디스플레이 화질 개선,1,11,컴퓨터공학과,한동일 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,영상·디스플레이 화질 처리,HIGH,APPROVED
디지털 영상 처리,2,36|106,컴퓨터공학과|AI로봇학과,김도년 교수님 연구실|Rizwan Ali NAQVI 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,디지털 이미지 신호 처리,HIGH,APPROVED
디지털 영상 포렌직,1,78,정보보호학과,최창희 교수님 연구실,SECURITY_CRYPTO,정보보안·암호,사이버 수사용 영상 포렌식,HIGH,APPROVED
디지털 통신 시스템,1,47,AI융합전자공학과,송형규 교수님 연구실,COMM_NETWORK,통신·네트워크·IoT,디지털 방식 통신 시스템,HIGH,APPROVED
디지털 트윈,2,165|168,지능정보융합학과,김재호 교수님 연구실|정민채 교수님 연구실,INDUSTRIAL_MOBILITY,산업·모빌리티·스마트인프라,산업·도시 시스템의 디지털 복제 및 운영,HIGH,APPROVED
디지털 TV,1,45,AI융합전자공학과,문주희 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,디지털 영상 방송·전송,HIGH,APPROVED
디지털신호처리,1,44,AI융합전자공학과,김우식 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,범용 디지털 신호 처리,HIGH,APPROVED
디지털콘텐츠 보안,1,25,컴퓨터공학과,김천식 교수님 연구실,SECURITY_CRYPTO,정보보안·암호,디지털 콘텐츠 보호 기술,HIGH,APPROVED
디지털포렌식,1,70,정보보호학과,박기웅 교수님 연구실,SECURITY_CRYPTO,정보보안·암호,디지털 증거 수집·분석,HIGH,APPROVED
딥 러닝,1,67,AI융합전자공학과,SEJAN MOHAMMAD ABRAR SHAKIL 교수님 연구실,AI_ML,인공지능·기계학습,범용 딥러닝 방법론,HIGH,APPROVED
딥러닝,7,11|21|28|33|37|106|158,인공지능데이터사이언스학과|컴퓨터공학과|AI로봇학과,알마스니모하메드압둘라힘모하메드 교수님 연구실|이수빈 교수님 연구실|전민종 교수님 연구실|전은지 교수님 연구실|한동일 교수님 연구실|DILSHAD NAQQASH 교수님 연구실|Rizwan Ali NAQVI 교수님 연구실,AI_ML,인공지능·기계학습,다분야 범용 딥러닝 방법론,HIGH,APPROVED
딥러닝기반 지능형교통시스템,1,150,인공지능데이터사이언스학과,이동훈 교수님 연구실,INDUSTRIAL_MOBILITY,산업·모빌리티·스마트인프라,AI 기반 교통·모빌리티 시스템,HIGH,APPROVED
레이다 및 라이다 신호처리,1,55,AI융합전자공학과,이성주 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,레이다·라이다 센서 신호 처리,HIGH,APPROVED
레이더 신호처리 배열 신호처리 통계 신호처리 해석적 성능분석 레이더 및 전자전 M&S 레이더 탐지 및 인식 알고리즘,1,54,AI융합전자공학과,이준호 교수님 연구실,DEFENSE_MILITARY,국방·군사·안보,레이더·전자전 탐지 국방 기술,HIGH,APPROVED
레이저,1,49,AI융합전자공학과,문희종 교수님 연구실,PHOTONICS_OPTICS,광학·포토닉스,레이저 광원·광학 연구,HIGH,APPROVED
레이저광학 (laser optics),1,188,양자지능정보학과,김한솔 교수님 연구실,PHOTONICS_OPTICS,광학·포토닉스,레이저 기반 광학 연구,HIGH,APPROVED
로보틱스,6,5|88|96|98|164|172,지능정보융합학과|컴퓨터공학과|AI로봇학과,문승빈 교수님 연구실|박규민 교수님 연구실|이석영 교수님 연구실|이학성 교수님 연구실|최유경 교수님 연구실|최호선 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,로봇 설계·지능·제어 전반,HIGH,APPROVED
로봇,1,86,AI로봇학과,송진우 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,무인이동체·로봇 시스템,HIGH,APPROVED
로봇 & 메커니즘 디자인,1,92,AI로봇학과,강병현 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,로봇 기구·메커니즘 설계,HIGH,APPROVED
로봇 제어/로봇 매니퓰레이터,1,93,AI로봇학과,이찬화 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,매니퓰레이터 로봇 제어,HIGH,APPROVED
로봇 조작 및 작업 학습,1,142,인공지능데이터사이언스학과,구영현 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,지능형 로봇 조작 학습,HIGH,APPROVED
로봇공학,1,30,컴퓨터공학과,Algabri Redhwan Nasser Ali 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,로봇 자세 추정·비전·제어,HIGH,APPROVED
로봇을 위한 인공지능 알고리즘,1,92,AI로봇학과,강병현 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,로봇 지능화를 위한 AI,HIGH,APPROVED
리더십,1,134,사이버국방학과,김덕영 교수님 연구실,DEFENSE_MILITARY,국방·군사·안보,국방 전략·군 조직 리더십,MEDIUM,APPROVED
마이크로 그리드,1,14,컴퓨터공학과,양효식 교수님 연구실,ENERGY_ENVIRONMENT,에너지·환경·기후,분산형 전력·에너지망,HIGH,APPROVED
마찰전기를 이용한 발전 소자,1,113,반도체시스템공학과,박성훈 교수님 연구실,ENERGY_ENVIRONMENT,에너지·환경·기후,마찰전기 에너지 수확 소자,HIGH,APPROVED
머신 러닝,1,67,AI융합전자공학과,SEJAN MOHAMMAD ABRAR SHAKIL 교수님 연구실,AI_ML,인공지능·기계학습,범용 머신러닝 방법론,HIGH,APPROVED
머신러닝,7,23|28|33|34|108|157|169,인공지능데이터사이언스학과|지능정보융합학과|컴퓨터공학과|AI로봇학과,윤진희 교수님 연구실|전민종 교수님 연구실|DILSHAD NAQQASH 교수님 연구실|Mohammad Jalil Piran 교수님 연구실|Muhammad Umair ALI 교수님 연구실|Norma Latif Fitriyani 교수님 연구실|Rajendra Dhakal 교수님 연구실,AI_ML,인공지능·기계학습,다분야 범용 머신러닝 방법론,HIGH,APPROVED
머신러닝&딥러닝,1,148,인공지능데이터사이언스학과,신승협 교수님 연구실,AI_ML,인공지능·기계학습,범용 머신러닝·딥러닝 기법,HIGH,APPROVED
멀티모달,1,141,인공지능데이터사이언스학과,최우석 교수님 연구실,AI_ML,인공지능·기계학습,복수 데이터 양식을 결합하는 범용 AI 방법론,HIGH,APPROVED
멀티모달 인공지능,2,97|147,인공지능데이터사이언스학과|AI로봇학과,김장겸 교수님 연구실|류승형 교수님 연구실,AI_ML,인공지능·기계학습,복수 데이터 양식 통합 AI,HIGH,APPROVED
멀티모달 학습,1,158,인공지능데이터사이언스학과,알마스니모하메드압둘라힘모하메드 교수님 연구실,AI_ML,인공지능·기계학습,범용 멀티모달 학습 방법론,HIGH,APPROVED
멀티모달 AI,1,132,지능IoT학과,김정현 교수님 연구실,AI_ML,인공지능·기계학습,복합 데이터 기반 지능 시스템,HIGH,APPROVED
멀티모달LLM,1,152,인공지능데이터사이언스학과,최교윤 교수님 연구실,AI_ML,인공지능·기계학습,멀티모달 대규모 언어모델 방법론,HIGH,APPROVED
멀티미디어,1,36,컴퓨터공학과,김도년 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,영상·음향 멀티미디어 처리,HIGH,APPROVED
멀티미디어 정보 처리,1,6,컴퓨터공학과,김해광 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,동영상 중심 멀티미디어 처리,HIGH,APPROVED
메타강화학습기반 차량경로안내시스템,1,150,인공지능데이터사이언스학과,이동훈 교수님 연구실,INDUSTRIAL_MOBILITY,산업·모빌리티·스마트인프라,차량 경로 안내·교통 최적화,HIGH,APPROVED
메타물질 등을 이용한 무선채널 환경 제어,1,66,AI융합전자공학과,황덕동 교수님 연구실,COMM_NETWORK,통신·네트워크·IoT,메타물질 기반 무선채널 제어,HIGH,APPROVED
메타버스,2,22|165,지능정보융합학과|컴퓨터공학과,김재호 교수님 연구실|Abolghasem Sadeghi-Niaraki 교수님 연구실,HCI_XR,HCI·XR·인터랙티브미디어,가상세계·확장현실 플랫폼,HIGH,APPROVED
메타버스 보안,1,73,정보보호학과,김영갑 교수님 연구실,SECURITY_CRYPTO,정보보안·암호,메타버스 환경 보안,HIGH,APPROVED
메타버스 시스템,1,47,AI융합전자공학과,송형규 교수님 연구실,HCI_XR,HCI·XR·인터랙티브미디어,메타버스 가상환경 시스템,HIGH,APPROVED
모델링,1,108,AI로봇학과,Muhammad Umair ALI 교수님 연구실,CONTROL_SYSTEMS,제어·추정·시스템공학,상태 추정·최적화를 위한 모델링,HIGH,APPROVED
모바일 및 무선 시스템,1,2,컴퓨터공학과,박태순 교수님 연구실,COMM_NETWORK,통신·네트워크·IoT,모바일·무선 네트워크 시스템,HIGH,APPROVED
모빌리티 시스템 동역학 해석 및 제어,1,102,AI로봇학과,조아라 교수님 연구실,INDUSTRIAL_MOBILITY,산업·모빌리티·스마트인프라,차량 동역학·모빌리티 제어,HIGH,APPROVED
모션 아티팩트 보정,1,158,인공지능데이터사이언스학과,알마스니모하메드압둘라힘모하메드 교수님 연구실,BIOMED_HEALTH,바이오·의료·헬스케어,의료영상 움직임 왜곡 보정,HIGH,APPROVED
모터 제어,1,89,AI로봇학과,김성한 교수님 연구실,CONTROL_SYSTEMS,제어·추정·시스템공학,모터 구동 제어 기술,HIGH,APPROVED
무선 네트워크,1,91,AI로봇학과,이현석 교수님 연구실,COMM_NETWORK,통신·네트워크·IoT,무선 통신망 연구,HIGH,APPROVED
무선 네트워크 및 엣지 컴퓨팅,1,27,컴퓨터공학과,Tanveer Jawad 교수님 연구실,COMM_NETWORK,통신·네트워크·IoT,무선망·엣지 통신 인프라,HIGH,APPROVED
무선 이동통신,1,68,AI융합전자공학과,이경근 교수님 연구실,COMM_NETWORK,통신·네트워크·IoT,이동 단말 무선통신 기술,HIGH,APPROVED
무선 통신,2,65|67,AI융합전자공학과,Mohammed H. Alsharif 교수님 연구실|SEJAN MOHAMMAD ABRAR SHAKIL 교수님 연구실,COMM_NETWORK,통신·네트워크·IoT,무선 신호 전송·통신 이론,HIGH,APPROVED
무선망 과 시스템 최적화,1,66,AI융합전자공학과,황덕동 교수님 연구실,COMM_NETWORK,통신·네트워크·IoT,무선통신망 성능 최적화,HIGH,APPROVED
무선통신,4,66|84|87|175,지능정보융합학과|AI로봇학과|AI융합전자공학과,안성준 교수님 연구실|이병무 교수님 연구실|정철 교수님 연구실|황덕동 교수님 연구실,COMM_NETWORK,통신·네트워크·IoT,범용 무선통신 연구,HIGH,APPROVED
무선통신 시스템,1,8,컴퓨터공학과,유영환 교수님 연구실,COMM_NETWORK,통신·네트워크·IoT,지능형 무선통신 시스템,HIGH,APPROVED
무인 항공기(UAV),1,27,컴퓨터공학과,Tanveer Jawad 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,자율 무인항공 이동체,HIGH,APPROVED
무인이동체 항법유도제어 센서 융합 및 자율주행항법 드론,1,86,AI로봇학과,송진우 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,무인이동체 자율항법·센서융합,HIGH,APPROVED
무인잠수정,1,100,AI로봇학과,양해상 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,자율 수중 무인이동체,HIGH,APPROVED
무인체계 및 지능로봇 분야 피지컬 AI 유무인복합체계 외,1,95,AI로봇학과,유재관 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,무인체계·지능로봇 피지컬 AI,HIGH,APPROVED
문화기술(Culture Technology),1,22,컴퓨터공학과,Abolghasem Sadeghi-Niaraki 교수님 연구실,HCI_XR,HCI·XR·인터랙티브미디어,XR·메타버스 문화콘텐츠 기술,MEDIUM,APPROVED
물류 체인 디지털 전환,1,90,AI로봇학과,김세원 교수님 연구실,INDUSTRIAL_MOBILITY,산업·모빌리티·스마트인프라,항만·물류 운송 디지털화,HIGH,APPROVED
물리계층 신호처리,1,66,AI융합전자공학과,황덕동 교수님 연구실,COMM_NETWORK,통신·네트워크·IoT,무선통신 물리계층 신호 처리,HIGH,APPROVED
